Expenses,OB_HO,Last Folder_HO,Actual_HO,Variance OB_HO,Variance LF_HO,OB_Bawal,Last Folder_Bawal,Actual_Bawal,Variance OB_Bawal,Variance LF_Bawal,OB_Chennai,Last Folder_Chennai,Actual_Chennai,Variance OB_Chennai,Variance LF_Chennai,OB_Roorkee,Last Folder_Roorkee,Actual_Roorkee,Variance OB_Roorkee,Variance LF_Roorkee,OB_T16,Last Folder_T16,Actual_T16,Variance OB_T16,Variance LF_T16,OB_NPAU,Last Folder_NPAU,Actual_NPAU,Variance OB_NPAU,Variance LF_NPAU,OB_KAU,Last Folder_KAU,Actual_KAU,Variance OB_KAU,Variance LF_KAU,OB_BAU,Last Folder_BAU,Actual_BAU,Variance OB_BAU,Variance LF_BAU,OB_Gujarat,Last Folder_Gujarat,Actual_Gujarat,Variance OB_Gujarat,Variance LF_Gujarat,OB_Total,Last Folder_Total,Actual_Total,Variance OB_Total,Variance LF_Total,Month
Bonus & Ex-Gratia (workers),0.0,0.0,0.0,0.0,0.0,28141315.0,28141315.0,28070883.900000002,70431.09999999776,70431.09999999776,9166666.782289864,9591666.782289864,9854881.0,-688214.2177101355,-263214.2177101355,1024600.0000000001,1024600.0000000001,1094525.5897435897,-69925.58974358963,-69925.58974358963,1039999.9999999999,1039999.9999999999,974288.0,65711.99999999988,65711.99999999988,0.0,0.0,15544.0,-15544.0,-15544.0,0.0,0.0,0.0,0.0,0.0,172070.0,172070.0,121924.0,50146.0,50146.0,0.0,0.0,0.0,0.0,0.0,39544651.78228986,39969651.78228986,40132046.4897436,-587394.7074537352,-162394.70745373517,YTD Mar'19
Bonus & Ex-Gratia (Trainees),0.0,0.0,0.0,0.0,0.0,4695797.057049001,4729985.141342999,7872528.04,-3176730.9829509994,-3142542.8986570006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85383.0,-85383.0,-85383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4695797.057049001,4729985.141342999,7957911.04,-3262113.9829509994,-3227925.8986570006,YTD Mar'19
Production Incentive,0.0,0.0,0.0,0.0,0.0,58172100.0,58172100.0,57200009.29,972090.7100000009,972090.7100000009,11468801.120000003,12008801.120000003,13628899.0,-2160097.879999997,-1620097.879999997,0.0,0.0,0.0,0.0,0.0,1152000.0,1152000.0,949506.0,202494.0,202494.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135200.0,135200.0,119755.0,15445.0,15445.0,0.0,0.0,0.0,0.0,0.0,70928101.12,71468101.12,71898169.28999999,-970068.1699999869,-430068.1699999869,YTD Mar'19
TOTAL SubContract( E),0.0,0.0,0.0,0.0,0.0,105212802.37246773,105246990.45676172,110263877.4612,-5051075.088732271,-5016887.004438273,54405867.25851726,56042675.22638264,61673109.89,-7267242.631482745,-5630434.663617359,8971482.846153846,8971482.846153846,11190088.606923077,-2218605.760769232,-2218605.760769232,3685971.396923077,3685971.396923077,5014503.0,-1328531.6030769227,-1328531.6030769227,37046.153846153844,37046.153846153844,51184.44,-14138.286153846157,-14138.286153846157,0.0,0.0,0.0,0.0,0.0,1788758.0,1788758.0,1394183.924133239,394574.0758667609,394574.0758667609,0.0,0.0,0.0,0.0,0.0,174101928.02790806,175772924.08006746,189586947.32225633,-15485019.294348251,-13814023.242188867,YTD Mar'19
Recruitment ,1289732.0,1289732.0,142724.2,1147007.8,1147007.8,107712.0,107712.0,378110.5,-270398.5,-270398.5,119328.0,119328.0,59652.0,59676.0,59676.0,40867.19999999999,40867.19999999999,0.0,40867.19999999999,40867.19999999999,40524.0,40524.0,287397.5,-246873.5,-246873.5,17160.0,17160.0,30498.0,-13338.0,-13338.0,15799.999999999993,15799.999999999993,0.0,15799.999999999993,15799.999999999993,10560.0,10560.0,0.0,10560.0,10560.0,202800.0,202800.0,0.0,202800.0,202800.0,1844483.2,1844483.2,898382.2,946101.0,946101.0,YTD Mar'19
Training,1896994.6734161878,1896994.6734161878,629760.0,1267234.6734161878,1267234.6734161878,2719912.0,2719912.0,1458148.1,1261763.9,1261763.9,5400000.0,5539663.0,3876992.06,1523007.94,1662670.94,1554024.0,1554024.0,881811.0,672213.0,672213.0,1722997.6573457834,1722997.6573457834,239154.4516129032,1483843.2057328802,1483843.2057328802,848648.0401567357,848648.0401567357,8401.0,840247.0401567357,840247.0401567357,146474.60317460317,146474.60317460317,227.0,146247.60317460317,146247.60317460317,134000.0,134000.0,29805.0,104195.0,104195.0,1000000.0000000001,1000000.0000000001,0.0,1000000.0000000001,1000000.0000000001,15423050.974093309,15562713.974093309,7124298.611612903,8298752.362480406,8438415.362480406,YTD Mar'19
TOTAL Recruitment(F),3186726.673416188,3186726.673416188,772484.2,2414242.473416188,2414242.473416188,2827624.0,2827624.0,1836258.6,991365.3999999999,991365.3999999999,5519328.0,5658991.0,3936644.06,1582683.94,1722346.94,1594891.2,1594891.2,881811.0,713080.2,713080.2,1763521.6573457834,1763521.6573457834,526551.9516129033,1236969.7057328802,1236969.7057328802,865808.0401567357,865808.0401567357,38899.0,826909.0401567357,826909.0401567357,162274.60317460317,162274.60317460317,227.0,162047.60317460317,162047.60317460317,144560.0,144560.0,29805.0,114755.0,114755.0,1202800.0,1202800.0,0.0,1202800.0,1202800.0,17267534.17409331,17407197.17409331,8022680.811612903,9244853.362480406,9384516.362480406,YTD Mar'19
Canteen,1578400.0,1578400.0,1629305.0399999998,-50905.039999999804,-50905.039999999804,31552620.544,31165859.784,28931321.059999954,2621299.484000046,2234538.724000048,33607466.79745425,34627310.76745766,35195931.769999996,-1588464.972545743,-568621.0025423393,6956693.367746402,6976073.367746402,6567225.3100000005,389468.05774640106,408848.05774640106,4314310.2639999995,4314310.2639999995,4199862.87,114447.39399999939,114447.39399999939,1114219.4400000002,1114219.4400000002,852037.1,262182.3400000002,262182.3400000002,2623591.2000000007,2623591.2000000007,1901944.2000000002,721647.0000000005,721647.0000000005,2878416.0,2878416.0,2096739.3800000001,781676.6199999999,781676.6199999999,386568.0,386568.0,0.0,386568.0,386568.0,85012285.61320065,85664748.82320406,81374366.72999994,3637918.883200705,4290382.093204111,YTD Mar'19
Employee Claim / Refreshmnent,810394.9999999999,810394.9999999999,637088.3599999996,173306.64000000025,173306.64000000025,1666040.0,1666040.0,2777692.7,-1111652.7000000002,-1111652.7000000002,360000.0,366000.0,621586.5,-261586.5,-255586.5,4000.0000000000005,4000.0000000000005,0.0,4000.0000000000005,4000.0000000000005,50000.0,50000.0,4792.0,45208.0,45208.0,24000.0,24000.0,0.0,24000.0,24000.0,80900.0,80900.0,0.0,80900.0,80900.0,24000.0,24000.0,73753.0,-49753.0,-49753.0,0.0,0.0,0.0,0.0,0.0,3019335.0,3025335.0,4114912.5599999996,-1095577.5599999996,-1089577.5599999996,YTD Mar'19
Suggestion Scheme,0.0,0.0,0.0,0.0,0.0,253900.0,253900.0,253900.0,0.0,0.0,738000.0,738000.0,224414.0,513586.0,513586.0,0.0,0.0,0.0,0.0,0.0,42600.0,42600.0,0.0,42600.0,42600.0,12600.0,12600.0,0.0,12600.0,12600.0,71568.0,71568.0,0.0,71568.0,71568.0,86400.0,86400.0,0.0,86400.0,86400.0,0.0,0.0,0.0,0.0,0.0,1205068.0,1205068.0,478314.0,726754.0,726754.0,YTD Mar'19
