Expenses,OB_HO,Last Folder_HO,Actual_HO,Variance OB_HO,Variance LF_HO,OB_Bawal,Last Folder_Bawal,Actual_Bawal,Variance OB_Bawal,Variance LF_Bawal,OB_Chennai,Last Folder_Chennai,Actual_Chennai,Variance OB_Chennai,Variance LF_Chennai,OB_Roorkee,Last Folder_Roorkee,Actual_Roorkee,Variance OB_Roorkee,Variance LF_Roorkee,OB_T16,Last Folder_T16,Actual_T16,Variance OB_T16,Variance LF_T16,OB_NPAU,Last Folder_NPAU,Actual_NPAU,Variance OB_NPAU,Variance LF_NPAU,OB_KAU,Last Folder_KAU,Actual_KAU,Variance OB_KAU,Variance LF_KAU,OB_BAU,Last Folder_BAU,Actual_BAU,Variance OB_BAU,Variance LF_BAU,OB_Gujarat,Last Folder_Gujarat,Actual_Gujarat,Variance OB_Gujarat,Variance LF_Gujarat,OB_Total,Last Folder_Total,Actual_Total,Variance OB_Total,Variance LF_Total
Bonus & Ex-Gratia (workers),0.0,0.0,0.0,0.0,0.0,2513488.0,2513488.0,2345109.58,168378.41999999993,168378.41999999993,820833.3333333315,820833.3333333315,803464.0,17369.33333333151,17369.33333333151,85383.33333333333,85383.33333333333,85383.0,0.3333333333284827,0.3333333333284827,86666.66666666667,86666.66666666667,86667.0,-0.3333333333284827,-0.3333333333284827,0.0,0.0,5044.0,-5044.0,-5044.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3506371.3333333316,3506371.3333333316,3325667.58,180703.75333333155,180703.75333333155
Bonus & Ex-Gratia (Trainees),0.0,0.0,0.0,0.0,0.0,624442.7354549998,624442.7354549998,388515.08,235927.65545499983,235927.65545499983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,624442.7354549998,624442.7354549998,388515.08,235927.65545499983,235927.65545499983
Production Incentive,0.0,0.0,0.0,0.0,0.0,5080800.0,5080800.0,5310838.0,-230038.0,-230038.0,994000.0933333334,994000.0933333334,1085236.0,-91235.90666666662,-91235.90666666662,0.0,0.0,0.0,0.0,0.0,96000.0,96000.0,71816.0,24184.0,24184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14300.0,14300.0,14300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6185100.093333334,6185100.093333334,6482190.0,-297089.90666666627,-297089.90666666627
TOTAL SubContract( E),0.0,0.0,0.0,0.0,0.0,9344328.933406562,9344328.933406562,8878797.8576,465531.0758065607,465531.0758065607,4606017.199685615,4606017.199685615,5587664.57,-981647.3703143859,-981647.3703143859,740777.7371794872,740777.7371794872,818414.0897435897,-77636.35256410255,-77636.35256410255,307164.2830769231,307164.2830769231,445613.0,-138448.7169230769,-138448.7169230769,3087.1794871794873,3087.1794871794873,23484.44,-20397.26051282051,-20397.26051282051,0.0,0.0,0.0,0.0,0.0,136924.0,136924.0,158530.0,-21606.0,-21606.0,0.0,0.0,0.0,0.0,0.0,15138299.332835764,15138299.332835764,15912503.95734359,-774204.6245078249,-774204.6245078249
Recruitment ,11286.0,11286.0,0.0,11286.0,11286.0,18876.0,18876.0,97763.0,-78887.0,-78887.0,33044.0,33044.0,7500.0,25544.0,25544.0,4230.6,4230.6,0.0,4230.6,4230.6,11077.0,11077.0,0.0,11077.0,11077.0,3630.0,3630.0,0.0,3630.0,3630.0,3516.6666666666665,3516.6666666666665,0.0,3516.6666666666665,3516.6666666666665,6930.0,6930.0,0.0,6930.0,6930.0,13200.0,13200.0,0.0,13200.0,13200.0,105790.26666666668,105790.26666666668,105263.0,527.2666666666773,527.2666666666773
Training,1007456.5217391305,1007456.5217391305,72480.0,934976.5217391305,934976.5217391305,1110661.25,1110661.25,500.0,1110161.25,1110161.25,450000.0,450000.0,433000.0,17000.0,17000.0,557939.0,557939.0,5950.0,551989.0,551989.0,693510.1449275361,693510.1449275361,36000.0,657510.1449275361,657510.1449275361,12456.521739130436,12456.521739130436,0.0,12456.521739130436,12456.521739130436,4250.0,4250.0,0.0,4250.0,4250.0,2000.0,2000.0,0.0,2000.0,2000.0,83333.33333333333,83333.33333333333,0.0,83333.33333333333,83333.33333333333,3921606.7717391304,3921606.7717391304,547930.0,3373676.7717391304,3373676.7717391304
TOTAL Recruitment(F),1018742.5217391305,1018742.5217391305,72480.0,946262.5217391305,946262.5217391305,1129537.25,1129537.25,98263.0,1031274.25,1031274.25,483044.0,483044.0,440500.0,42544.0,42544.0,562169.6,562169.6,5950.0,556219.6,556219.6,704587.1449275361,704587.1449275361,36000.0,668587.1449275361,668587.1449275361,16086.521739130436,16086.521739130436,0.0,16086.521739130436,16086.521739130436,7766.666666666666,7766.666666666666,0.0,7766.666666666666,7766.666666666666,8930.0,8930.0,0.0,8930.0,8930.0,96533.33333333333,96533.33333333333,0.0,96533.33333333333,96533.33333333333,4027397.038405797,4027397.038405797,653193.0,3374204.038405797,3374204.038405797
Canteen,135200.0,135200.0,32976.82,102223.18,102223.18,2604259.08,2604259.08,2583169.82,21089.260000000242,21089.260000000242,3090345.129787854,3090345.129787854,3307127.1500000004,-216782.02021214645,-216782.02021214645,540464.4473122,540464.4473122,651204.92,-110740.47268780007,-110740.47268780007,388864.6053333333,388864.6053333333,304722.0,84142.60533333331,84142.60533333331,92851.62000000001,92851.62000000001,96829.88,-3978.2599999999948,-3978.2599999999948,218632.59999999998,218632.59999999998,105380.0,113252.59999999998,113252.59999999998,239868.0,239868.0,224803.0,15065.0,15065.0,14726.4,14726.4,0.0,14726.4,14726.4,7325211.8824333865,7325211.8824333865,7306213.59,18998.29243338667,18998.29243338667
Employee Claim / Refreshmnent,67532.91666666667,67532.91666666667,41574.46,25958.456666666672,25958.456666666672,0.0,0.0,439403.0,-439403.0,-439403.0,30000.0,30000.0,43345.0,-13345.0,-13345.0,333.3333333333333,333.3333333333333,0.0,333.3333333333333,333.3333333333333,12500.0,12500.0,0.0,12500.0,12500.0,2000.0,2000.0,0.0,2000.0,2000.0,12575.0,12575.0,0.0,12575.0,12575.0,2000.0,2000.0,28032.0,-26032.0,-26032.0,0.0,0.0,0.0,0.0,0.0,126941.25,126941.25,552354.46,-425413.20999999996,-425413.20999999996
Suggestion Scheme,0.0,0.0,0.0,0.0,0.0,17700.0,17700.0,17700.0,0.0,0.0,61500.0,61500.0,0.0,61500.0,61500.0,0.0,0.0,0.0,0.0,0.0,3550.0,3550.0,0.0,3550.0,3550.0,1050.0,1050.0,0.0,1050.0,1050.0,5964.0,5964.0,0.0,5964.0,5964.0,7200.0,7200.0,0.0,7200.0,7200.0,0.0,0.0,0.0,0.0,0.0,96964.0,96964.0,17700.0,79264.0,79264.0
